execution_timestamp	kpi	value
20240606_053546	Yksilön aikavälin keskikoko	76.248
20240606_151756	Viestin aikaväliennuste väärin	0.119
20240606_151756	Yksilöennusteen keskivirhe	15.292
20240606_151756	Yksilön aikaväliennuste väärin	0.055
20240606_151756	Yksilön aikavälin keskikoko	76.244
20240607_043334	Viestin aikaväliennuste väärin	0.112
20240607_043334	Yksilöennusteen keskivirhe	15.033
20240607_043334	Yksilön aikaväliennuste väärin	0.053
20240607_043334	Yksilön aikavälin keskikoko	76.006
20240608_040103	Viestin aikaväliennuste väärin	0.107
20240608_040103	Yksilöennusteen keskivirhe	14.824
20240608_040103	Yksilön aikaväliennuste väärin	0.057
20240608_040103	Yksilön aikavälin keskikoko	78.683
20240609_144801	Viestin aikaväliennuste väärin	0.107
20240609_144801	Yksilöennusteen keskivirhe	14.813
20240609_144801	Yksilön aikaväliennuste väärin	0.056
20240609_144801	Yksilön aikavälin keskikoko	78.634
20240609_150801	Viestin aikaväliennuste väärin	0.104
20240609_150801	Yksilöennusteen keskivirhe	14.76
20240609_150801	Yksilön aikaväliennuste väärin	0.052
20240609_150801	Yksilön aikavälin keskikoko	75.668
20240610_041616	Viestin aikaväliennuste väärin	0.12
20240610_041616	Yksilöennusteen keskivirhe	14.688
20240610_041616	Yksilön aikaväliennuste väärin	0.058
20240610_041616	Yksilön aikavälin keskikoko	70.348
20240611_051701	Viestin aikaväliennuste väärin	0.1
20240611_051701	Yksilöennusteen keskivirhe	15.097
20240611_051701	Yksilön aikaväliennuste väärin	0.048
20240611_051701	Yksilön aikavälin keskikoko	76.75
20240611_061517	Viestin aikaväliennuste väärin	0.1
20240611_061517	Yksilöennusteen keskivirhe	15.097
20240611_061517	Yksilön aikaväliennuste väärin	0.048
20240611_061517	Yksilön aikavälin keskikoko	76.75
20240611_182910	Viestin aikaväliennuste väärin	0.095
20240611_182910	Yksilöennusteen keskivirhe	14.992
20240611_182910	Yksilön aikaväliennuste väärin	0.046
20240611_182910	Yksilön aikavälin keskikoko	77.814
20240612_042821	Viestin aikaväliennuste väärin	0.091
20240612_042821	Yksilöennusteen keskivirhe	15.192
20240612_042821	Yksilön aikaväliennuste väärin	0.044
20240612_042821	Yksilön aikavälin keskikoko	79.863
20240612_201543	Viestin aikaväliennuste väärin	0.096
20240612_201543	Yksilöennusteen keskivirhe	14.781
20240612_201543	Yksilön aikaväliennuste väärin	0.047
20240612_201543	Yksilön aikavälin keskikoko	76.379
20240613_045930	Viestin aikaväliennuste väärin	0.096
20240613_045930	Yksilöennusteen keskivirhe	14.784
20240613_045930	Yksilön aikaväliennuste väärin	0.047
20240613_045930	Yksilön aikavälin keskikoko	76.288
20240613_134452	Viestin aikaväliennuste väärin	0.096
20240613_134452	Yksilöennusteen keskivirhe	14.78
20240613_134452	Yksilön aikaväliennuste väärin	0.046
20240613_134452	Yksilön aikavälin keskikoko	76.706
20240613_154122	Viestin aikaväliennuste väärin	0.097
20240613_154122	Yksilöennusteen keskivirhe	14.79
20240613_154122	Yksilön aikaväliennuste väärin	0.046
20240613_154122	Yksilön aikavälin keskikoko	77.069
20240614_033051	Viestin aikaväliennuste väärin	0.097
20240614_033051	Yksilöennusteen keskivirhe	14.791
20240614_033051	Yksilön aikaväliennuste väärin	0.046
20240614_033051	Yksilön aikavälin keskikoko	77.033
20240614_145137	Viestin aikaväliennuste väärin	0.098
20240614_145137	Yksilöennusteen keskivirhe	14.817
20240614_145137	Yksilön aikaväliennuste väärin	0.047
20240614_145137	Yksilön aikavälin keskikoko	76.766
20240615_050544	Viestin aikaväliennuste väärin	0.098
20240615_050544	Yksilöennusteen keskivirhe	14.809
20240615_050544	Yksilön aikaväliennuste väärin	0.047
20240615_050544	Yksilön aikavälin keskikoko	76.805
20240617_151640	Viestin aikaväliennuste väärin	0.092
20240617_151640	Yksilöennusteen keskivirhe	14.635
20240617_151640	Yksilön aikaväliennuste väärin	0.044
20240617_151640	Yksilön aikavälin keskikoko	77.254
20240617_160251	Viestin aikaväliennuste väärin	0.092
20240617_160251	Yksilöennusteen keskivirhe	14.635
20240617_160251	Yksilön aikaväliennuste väärin	0.044
20240617_160251	Yksilön aikavälin keskikoko	77.254
20240824_063956	Viestin aikaväliennuste väärin	0.092
20240824_063956	Yksilöennusteen keskivirhe	14.64
20240824_063956	Yksilön aikaväliennuste väärin	0.044
20240824_063956	Yksilön aikavälin keskikoko	77.317
20240826_063106	Viestin aikaväliennuste väärin	0.094
20240826_063106	Yksilöennusteen keskivirhe	14.646
20240826_063106	Yksilön aikaväliennuste väärin	0.045
20240826_063106	Yksilön aikavälin keskikoko	76.921
20240904_042038	Viestin aikaväliennuste väärin	0.094
20240904_042038	Yksilöennusteen keskivirhe	14.646
20240904_042038	Yksilön aikaväliennuste väärin	0.045
20240904_042038	Yksilön aikavälin keskikoko	76.921
20240924_050115	Viestin aikaväliennuste väärin	0.093
20240924_050115	Yksilöennusteen keskivirhe	14.669
20240924_050115	Yksilön aikaväliennuste väärin	0.045
20240924_050115	Yksilön aikavälin keskikoko	76.957
20241008_170025	Viestin aikaväliennuste väärin	0.091
20241008_170025	Yksilöennusteen keskivirhe	14.608
20241008_170025	Yksilön aikaväliennuste väärin	0.044
20241008_170025	Yksilön aikavälin keskikoko	77.797
20241009_190648	Viestin aikaväliennuste väärin	0.092
20241009_190648	Yksilöennusteen keskivirhe	14.625
20241009_190648	Yksilön aikaväliennuste väärin	0.044
20241009_190648	Yksilön aikavälin keskikoko	77.242
20241012_045719	Viestin aikaväliennuste väärin	0.094
20241012_045719	Yksilöennusteen keskivirhe	14.68
20241012_045719	Yksilön aikaväliennuste väärin	0.043
20241012_045719	Yksilön aikavälin keskikoko	77.841
20250317_062108	Viestin aikaväliennuste väärin	0.164
20250317_062108	Yksilöennusteen keskivirhe	15.832
20250317_062108	Yksilön aikaväliennuste väärin	0.097
20250317_062108	Yksilön aikavälin keskikoko	72.929
20250317_151936	Viestin aikaväliennuste väärin	0.134
20250317_151936	Yksilöennusteen keskivirhe	14.434
20250317_151936	Yksilön aikaväliennuste väärin	0.096
20250317_151936	Yksilön aikavälin keskikoko	69.17
20250317_161327	Viestin aikaväliennuste väärin	0.166
20250317_161327	Yksilöennusteen keskivirhe	15.842
20250317_161327	Yksilön aikaväliennuste väärin	0.098
20250317_161327	Yksilön aikavälin keskikoko	72.857
20250317_205917	Viestin aikaväliennuste väärin	0.163
20250317_205917	Yksilöennusteen keskivirhe	15.824
20250317_205917	Yksilön aikaväliennuste väärin	0.098
20250317_205917	Yksilön aikavälin keskikoko	72.765
20250318_062811	Viestin aikaväliennuste väärin	0.145
20250318_062811	Yksilöennusteen keskivirhe	15.156
20250318_062811	Yksilön aikaväliennuste väärin	0.082
20250318_062811	Yksilön aikavälin keskikoko	72.736
20250318_064524	Viestin aikaväliennuste väärin	0.148
20250318_064524	Yksilöennusteen keskivirhe	15.19
20250318_064524	Yksilön aikaväliennuste väärin	0.083
20250318_064524	Yksilön aikavälin keskikoko	72.655
20250318_083603	Viestin aikaväliennuste väärin	0.14
20250318_083603	Yksilöennusteen keskivirhe	15.173
20250318_083603	Yksilön aikaväliennuste väärin	0.081
20250318_083603	Yksilön aikavälin keskikoko	73.158
20250318_192124	Viestin aikaväliennuste väärin	0.15
20250318_192124	Yksilöennusteen keskivirhe	15.234
20250318_192124	Yksilön aikaväliennuste väärin	0.083
20250318_192124	Yksilön aikavälin keskikoko	72.857
20250318_194423	Viestin aikaväliennuste väärin	0.149
20250318_194423	Yksilöennusteen keskivirhe	15.32
20250318_194423	Yksilön aikaväliennuste väärin	0.086
20250318_194423	Yksilön aikavälin keskikoko	72.914
20250318_200040	Viestin aikaväliennuste väärin	0.15
20250318_200040	Yksilöennusteen keskivirhe	15.333
20250318_200040	Yksilön aikaväliennuste väärin	0.089
20250318_200040	Yksilön aikavälin keskikoko	71.706
20250319_051254	Viestin aikaväliennuste väärin	0.154
20250319_051254	Yksilöennusteen keskivirhe	15.317
20250319_051254	Yksilön aikaväliennuste väärin	0.087
20250319_051254	Yksilön aikavälin keskikoko	72.826
20250319_151423	Viestin aikaväliennuste väärin	0.151
20250319_151423	Yksilöennusteen keskivirhe	15.35
20250319_151423	Yksilön aikaväliennuste väärin	0.086
20250319_151423	Yksilön aikavälin keskikoko	72.938
20250319_210112	Viestin aikaväliennuste väärin	0.16
20250319_210112	Yksilöennusteen keskivirhe	15.405
20250319_210112	Yksilön aikaväliennuste väärin	0.094
20250319_210112	Yksilön aikavälin keskikoko	72.582
20250320_055552	Viestin aikaväliennuste väärin	0.167
20250320_055552	Yksilöennusteen keskivirhe	15.687
20250320_055552	Yksilön aikaväliennuste väärin	0.101
20250320_055552	Yksilön aikavälin keskikoko	72.642
20250320_190316	Viestin aikaväliennuste väärin	0.167
20250320_190316	Yksilöennusteen keskivirhe	15.687
20250320_190316	Yksilön aikaväliennuste väärin	0.101
20250320_190316	Yksilön aikavälin keskikoko	72.642
20250320_195859	Viestin aikaväliennuste väärin	0.16
20250320_195859	Yksilöennusteen keskivirhe	15.405
20250320_195859	Yksilön aikaväliennuste väärin	0.094
20250320_195859	Yksilön aikavälin keskikoko	72.582
20250320_202923	Viestin aikaväliennuste väärin	0.15
20250320_202923	Yksilöennusteen keskivirhe	15.271
20250320_202923	Yksilön aikaväliennuste väärin	0.087
20250320_202923	Yksilön aikavälin keskikoko	72.549
20250320_213023	Viestin aikaväliennuste väärin	0.164
20250320_213023	Yksilöennusteen keskivirhe	15.514
20250320_213023	Yksilön aikaväliennuste väärin	0.097
20250320_213023	Yksilön aikavälin keskikoko	72.234
20250321_050244	Viestin aikaväliennuste väärin	0.151
20250321_050244	Yksilöennusteen keskivirhe	15.246
20250321_050244	Yksilön aikaväliennuste väärin	0.088
20250321_050244	Yksilön aikavälin keskikoko	72.309
20250321_061135	Viestin aikaväliennuste väärin	0.149
20250321_061135	Yksilöennusteen keskivirhe	15.221
20250321_061135	Yksilön aikaväliennuste väärin	0.087
20250321_061135	Yksilön aikavälin keskikoko	72.476
20250321_154118	Viestin aikaväliennuste väärin	0.149
20250321_154118	Yksilöennusteen keskivirhe	15.221
20250321_154118	Yksilön aikaväliennuste väärin	0.087
20250321_154118	Yksilön aikavälin keskikoko	72.476
20250321_163110	Viestin aikaväliennuste väärin	0.15
20250321_163110	Yksilöennusteen keskivirhe	15.23
20250321_163110	Yksilön aikaväliennuste väärin	0.087
20250321_163110	Yksilön aikavälin keskikoko	72.462
20250321_180009	Viestin aikaväliennuste väärin	0.15
20250321_180009	Yksilöennusteen keskivirhe	15.241
20250321_180009	Yksilön aikaväliennuste väärin	0.087
20250321_180009	Yksilön aikavälin keskikoko	72.425
20250321_185337	Viestin aikaväliennuste väärin	0.15
20250321_185337	Yksilöennusteen keskivirhe	15.225
20250321_185337	Yksilön aikaväliennuste väärin	0.087
20250321_185337	Yksilön aikavälin keskikoko	72.412
20250323_185135	Viestin aikaväliennuste väärin	0.13
20250323_185135	Yksilöennusteen keskivirhe	15.234
20250323_185135	Yksilön aikaväliennuste väärin	0.07
20250323_185135	Yksilön aikavälin keskikoko	74.778
20250323_195427	Viestin aikaväliennuste väärin	0.131
20250323_195427	Yksilöennusteen keskivirhe	15.253
20250323_195427	Yksilön aikaväliennuste väärin	0.071
20250323_195427	Yksilön aikavälin keskikoko	74.586
20250323_200841	Viestin aikaväliennuste väärin	0.131
20250323_200841	Yksilöennusteen keskivirhe	15.253
20250323_200841	Yksilön aikaväliennuste väärin	0.071
20250323_200841	Yksilön aikavälin keskikoko	74.586
20250323_204125	Viestin aikaväliennuste väärin	0.142
20250323_204125	Yksilöennusteen keskivirhe	15.478
20250323_204125	Yksilön aikaväliennuste väärin	0.079
20250323_204125	Yksilön aikavälin keskikoko	73.555
20250323_205211	Viestin aikaväliennuste väärin	0.14
20250323_205211	Yksilöennusteen keskivirhe	15.24
20250323_205211	Yksilön aikaväliennuste väärin	0.077
20250323_205211	Yksilön aikavälin keskikoko	73.364
20250323_210517	Viestin aikaväliennuste väärin	0.132
20250323_210517	Yksilöennusteen keskivirhe	15.384
20250323_210517	Yksilön aikaväliennuste väärin	0.072
20250323_210517	Yksilön aikavälin keskikoko	74.522
20250323_212305	Viestin aikaväliennuste väärin	0.155
20250323_212305	Yksilöennusteen keskivirhe	15.596
20250323_212305	Yksilön aikaväliennuste väärin	0.087
20250323_212305	Yksilön aikavälin keskikoko	73.189
20250324_053108	Viestin aikaväliennuste väärin	0.15
20250324_053108	Yksilöennusteen keskivirhe	15.615
20250324_053108	Yksilön aikaväliennuste väärin	0.084
20250324_053108	Yksilön aikavälin keskikoko	73.624
20250324_053936	Viestin aikaväliennuste väärin	0.126
20250324_053936	Yksilöennusteen keskivirhe	15.199
20250324_053936	Yksilön aikaväliennuste väärin	0.068
20250324_053936	Yksilön aikavälin keskikoko	75.185
20250324_055556	Viestin aikaväliennuste väärin	0.138
20250324_055556	Yksilöennusteen keskivirhe	15.244
20250324_055556	Yksilön aikaväliennuste väärin	0.074
20250324_055556	Yksilön aikavälin keskikoko	73.735
20250324_061247	Viestin aikaväliennuste väärin	0.119
20250324_061247	Yksilöennusteen keskivirhe	15.173
20250324_061247	Yksilön aikaväliennuste väärin	0.065
20250324_061247	Yksilön aikavälin keskikoko	76.469
20250324_063523	Viestin aikaväliennuste väärin	0.119
20250324_063523	Yksilöennusteen keskivirhe	15.173
20250324_063523	Yksilön aikaväliennuste väärin	0.065
20250324_063523	Yksilön aikavälin keskikoko	76.469
20250324_070634	Viestin aikaväliennuste väärin	0.119
20250324_070634	Yksilöennusteen keskivirhe	15.173
20250324_070634	Yksilön aikaväliennuste väärin	0.065
20250324_070634	Yksilön aikavälin keskikoko	76.469
20250324_073146	Viestin aikaväliennuste väärin	0.133
20250324_073146	Yksilöennusteen keskivirhe	15.292
20250324_073146	Yksilön aikaväliennuste väärin	0.071
20250324_073146	Yksilön aikavälin keskikoko	74.518
20250324_083330	Viestin aikaväliennuste väärin	0.128
20250324_083330	Yksilöennusteen keskivirhe	15.231
20250324_083330	Yksilön aikaväliennuste väärin	0.069
20250324_083330	Yksilön aikavälin keskikoko	75.717
20250324_085044	Viestin aikaväliennuste väärin	0.128
20250324_085044	Yksilöennusteen keskivirhe	15.079
20250324_085044	Yksilön aikaväliennuste väärin	0.069
20250324_085044	Yksilön aikavälin keskikoko	74.979
20250324_092850	Viestin aikaväliennuste väärin	0.13
20250324_092850	Yksilöennusteen keskivirhe	15.133
20250324_092850	Yksilön aikaväliennuste väärin	0.071
20250324_092850	Yksilön aikavälin keskikoko	74.192
20250324_113511	Viestin aikaväliennuste väärin	0.133
20250324_113511	Yksilöennusteen keskivirhe	15.205
20250324_113511	Yksilön aikaväliennuste väärin	0.073
20250324_113511	Yksilön aikavälin keskikoko	73.872
20250324_191706	Viestin aikaväliennuste väärin	0.132
20250324_191706	Yksilöennusteen keskivirhe	15.188
20250324_191706	Yksilön aikaväliennuste väärin	0.072
20250324_191706	Yksilön aikavälin keskikoko	74.222
20250326_060216	Viestin aikaväliennuste väärin	0.145
20250326_060216	Yksilöennusteen keskivirhe	15.062
20250326_060216	Yksilön aikaväliennuste väärin	0.078
20250326_060216	Yksilön aikavälin keskikoko	72.476
20250326_070934	Viestin aikaväliennuste väärin	0.144
20250326_070934	Yksilöennusteen keskivirhe	15.032
20250326_070934	Yksilön aikaväliennuste väärin	0.079
20250326_070934	Yksilön aikavälin keskikoko	72.805
20250326_152207	Viestin aikaväliennuste väärin	0.144
20250326_152207	Yksilöennusteen keskivirhe	15.032
20250326_152207	Yksilön aikaväliennuste väärin	0.079
20250326_152207	Yksilön aikavälin keskikoko	72.805
20250326_180606	Viestin aikaväliennuste väärin	0.139
20250326_180606	Yksilöennusteen keskivirhe	15.401
20250326_180606	Yksilön aikaväliennuste väärin	0.079
20250326_180606	Yksilön aikavälin keskikoko	73.926
20250326_184112	Viestin aikaväliennuste väärin	0.153
20250326_184112	Yksilöennusteen keskivirhe	15.147
20250326_184112	Yksilön aikaväliennuste väärin	0.079
20250326_184112	Yksilön aikavälin keskikoko	72.406
20250326_192555	Viestin aikaväliennuste väärin	0.189
20250326_192555	Yksilöennusteen keskivirhe	15.608
20250326_192555	Yksilön aikaväliennuste väärin	0.101
20250326_192555	Yksilön aikavälin keskikoko	68.656
20250326_203353	Viestin aikaväliennuste väärin	0.145
20250326_203353	Yksilöennusteen keskivirhe	15.044
20250326_203353	Yksilön aikaväliennuste väärin	0.077
20250326_203353	Yksilön aikavälin keskikoko	73.121
20250326_211316	Viestin aikaväliennuste väärin	0.138
20250326_211316	Yksilöennusteen keskivirhe	15.271
20250326_211316	Yksilön aikaväliennuste väärin	0.075
20250326_211316	Yksilön aikavälin keskikoko	74.764
20250327_050854	Viestin aikaväliennuste väärin	0.13
20250327_050854	Yksilöennusteen keskivirhe	15.234
20250327_050854	Yksilön aikaväliennuste väärin	0.073
20250327_050854	Yksilön aikavälin keskikoko	74.908
20250328_205339	Viestin aikaväliennuste väärin	0.127
20250328_205339	Yksilöennusteen keskivirhe	15.096
20250328_205339	Yksilön aikaväliennuste väärin	0.071
20250328_205339	Yksilön aikavälin keskikoko	74.72
20250328_211247	Viestin aikaväliennuste väärin	0.134
20250328_211247	Yksilöennusteen keskivirhe	15.161
20250328_211247	Yksilön aikaväliennuste väärin	0.071
20250328_211247	Yksilön aikavälin keskikoko	75.145
20250329_070443	Viestin aikaväliennuste väärin	0.163
20250329_070443	Yksilöennusteen keskivirhe	15.209
20250329_070443	Yksilön aikaväliennuste väärin	0.086
20250329_070443	Yksilön aikavälin keskikoko	71.648
20250329_123936	Viestin aikaväliennuste väärin	0.153
20250329_123936	Yksilöennusteen keskivirhe	15.121
20250329_123936	Yksilön aikaväliennuste väärin	0.079
20250329_123936	Yksilön aikavälin keskikoko	72.415
20250329_210055	Viestin aikaväliennuste väärin	0.148
20250329_210055	Yksilöennusteen keskivirhe	14.917
20250329_210055	Yksilön aikaväliennuste väärin	0.079
20250329_210055	Yksilön aikavälin keskikoko	72.045
20250330_062800	Viestin aikaväliennuste väärin	0.124
20250330_062800	Yksilöennusteen keskivirhe	15.157
20250330_062800	Yksilön aikaväliennuste väärin	0.065
20250330_062800	Yksilön aikavälin keskikoko	78.112
20250330_063426	Viestin aikaväliennuste väärin	0.12
20250330_063426	Yksilöennusteen keskivirhe	15.324
20250330_063426	Yksilön aikaväliennuste väärin	0.063
20250330_063426	Yksilön aikavälin keskikoko	80.126
20250330_071342	Viestin aikaväliennuste väärin	0.12
20250330_071342	Yksilöennusteen keskivirhe	15.309
20250330_071342	Yksilön aikaväliennuste väärin	0.063
20250330_071342	Yksilön aikavälin keskikoko	80.348
20250330_072333	Viestin aikaväliennuste väärin	0.127
20250330_072333	Yksilöennusteen keskivirhe	15.451
20250330_072333	Yksilön aikaväliennuste väärin	0.066
20250330_072333	Yksilön aikavälin keskikoko	79.874
20250330_171301	Viestin aikaväliennuste väärin	0.12
20250330_171301	Yksilöennusteen keskivirhe	15.142
20250330_171301	Yksilön aikaväliennuste väärin	0.063
20250330_171301	Yksilön aikavälin keskikoko	78.747
20250330_173107	Viestin aikaväliennuste väärin	0.151
20250330_173107	Yksilöennusteen keskivirhe	15.111
20250330_173107	Yksilön aikaväliennuste väärin	0.079
20250330_173107	Yksilön aikavälin keskikoko	72.285
20250330_174928	Viestin aikaväliennuste väärin	0.12
20250330_174928	Yksilöennusteen keskivirhe	15.142
20250330_174928	Yksilön aikaväliennuste väärin	0.063
20250330_174928	Yksilön aikavälin keskikoko	78.747
20250330_175830	Viestin aikaväliennuste väärin	0.128
20250330_175830	Yksilöennusteen keskivirhe	15.493
20250330_175830	Yksilön aikaväliennuste väärin	0.066
20250330_175830	Yksilön aikavälin keskikoko	79.919
20250330_182809	Viestin aikaväliennuste väärin	0.12
20250330_182809	Yksilöennusteen keskivirhe	15.142
20250330_182809	Yksilön aikaväliennuste väärin	0.063
20250330_182809	Yksilön aikavälin keskikoko	78.747
20250331_051914	Viestin aikaväliennuste väärin	0.118
20250331_051914	Yksilöennusteen keskivirhe	15.124
20250331_051914	Yksilön aikaväliennuste väärin	0.063
20250331_051914	Yksilön aikavälin keskikoko	79.322
20250331_052445	Viestin aikaväliennuste väärin	0.126
20250331_052445	Yksilöennusteen keskivirhe	15.323
20250331_052445	Yksilön aikaväliennuste väärin	0.067
20250331_052445	Yksilön aikavälin keskikoko	78.328
20250401_044715	Viestin aikaväliennuste väärin	0.154
20250401_044715	Yksilöennusteen keskivirhe	15.005
20250401_044715	Yksilön aikaväliennuste väärin	0.082
20250401_044715	Yksilön aikavälin keskikoko	71.661
20250401_065410	Viestin aikaväliennuste väärin	0.155
20250401_065410	Yksilöennusteen keskivirhe	15.061
20250401_065410	Yksilön aikaväliennuste väärin	0.083
20250401_065410	Yksilön aikavälin keskikoko	71.661
20250401_142457	Viestin aikaväliennuste väärin	0.152
20250401_142457	Yksilöennusteen keskivirhe	15.024
20250401_142457	Yksilön aikaväliennuste väärin	0.08
20250401_142457	Yksilön aikavälin keskikoko	71.819
20250401_144140	Viestin aikaväliennuste väärin	0.163
20250401_144140	Yksilöennusteen keskivirhe	15.182
20250401_144140	Yksilön aikaväliennuste väärin	0.087
20250401_144140	Yksilön aikavälin keskikoko	71.721
20250402_034649	Viestin aikaväliennuste väärin	0.146
20250402_034649	Yksilöennusteen keskivirhe	14.993
20250402_034649	Yksilön aikaväliennuste väärin	0.079
20250402_034649	Yksilön aikavälin keskikoko	72.019
20250402_185710	Viestin aikaväliennuste väärin	0.114
20250402_185710	Yksilöennusteen keskivirhe	14.293
20250402_185710	Yksilön aikaväliennuste väärin	0.064
20250402_185710	Yksilön aikavälin keskikoko	72.924
20250402_192925	Viestin aikaväliennuste väärin	0.151
20250402_192925	Yksilöennusteen keskivirhe	15.135
20250402_192925	Yksilön aikaväliennuste väärin	0.079
20250402_192925	Yksilön aikavälin keskikoko	72.383
20250402_194654	Viestin aikaväliennuste väärin	0.157
20250402_194654	Yksilöennusteen keskivirhe	15.31
20250402_194654	Yksilön aikaväliennuste väärin	0.082
20250402_194654	Yksilön aikavälin keskikoko	72.25
20250402_195913	Viestin aikaväliennuste väärin	0.125
20250402_195913	Yksilöennusteen keskivirhe	15.211
20250402_195913	Yksilön aikaväliennuste väärin	0.065
20250402_195913	Yksilön aikavälin keskikoko	76.917
20250403_060458	Viestin aikaväliennuste väärin	0.137
20250403_060458	Yksilöennusteen keskivirhe	15.2
20250403_060458	Yksilön aikaväliennuste väärin	0.07
20250403_060458	Yksilön aikavälin keskikoko	74.288
20250403_171430	Viestin aikaväliennuste väärin	0.138
20250403_171430	Yksilöennusteen keskivirhe	15.223
20250403_171430	Yksilön aikaväliennuste väärin	0.071
20250403_171430	Yksilön aikavälin keskikoko	74.239
20250404_040701	Viestin aikaväliennuste väärin	0.151
20250404_040701	Yksilöennusteen keskivirhe	15.19
20250404_040701	Yksilön aikaväliennuste väärin	0.08
20250404_040701	Yksilön aikavälin keskikoko	72.369
20250404_043151	Viestin aikaväliennuste väärin	0.152
20250404_043151	Yksilöennusteen keskivirhe	15.105
20250404_043151	Yksilön aikaväliennuste väärin	0.08
20250404_043151	Yksilön aikavälin keskikoko	72.062
20250404_050306	Viestin aikaväliennuste väärin	0.153
20250404_050306	Yksilöennusteen keskivirhe	15.117
20250404_050306	Yksilön aikaväliennuste väärin	0.081
20250404_050306	Yksilön aikavälin keskikoko	71.975
20250405_063822	Viestin aikaväliennuste väärin	0.134
20250405_063822	Yksilöennusteen keskivirhe	15.133
20250405_063822	Yksilön aikaväliennuste väärin	0.069
20250405_063822	Yksilön aikavälin keskikoko	74.521
20250405_065143	Viestin aikaväliennuste väärin	0.136
20250405_065143	Yksilöennusteen keskivirhe	15.199
20250405_065143	Yksilön aikaväliennuste väärin	0.07
20250405_065143	Yksilön aikavälin keskikoko	74.356
20250405_070615	Viestin aikaväliennuste väärin	0.131
20250405_070615	Yksilöennusteen keskivirhe	15.055
20250405_070615	Yksilön aikaväliennuste väärin	0.068
20250405_070615	Yksilön aikavälin keskikoko	74.521
20250405_071918	Viestin aikaväliennuste väärin	0.143
20250405_071918	Yksilöennusteen keskivirhe	15.023
20250405_071918	Yksilön aikaväliennuste väärin	0.075
20250405_071918	Yksilön aikavälin keskikoko	72.523
20250405_073154	Viestin aikaväliennuste väärin	0.138
20250405_073154	Yksilöennusteen keskivirhe	15.021
20250405_073154	Yksilön aikaväliennuste väärin	0.072
20250405_073154	Yksilön aikavälin keskikoko	73.219
20250405_075420	Viestin aikaväliennuste väärin	0.131
20250405_075420	Yksilöennusteen keskivirhe	15.062
20250405_075420	Yksilön aikaväliennuste väärin	0.068
20250405_075420	Yksilön aikavälin keskikoko	74.361
20250405_081100	Viestin aikaväliennuste väärin	0.137
20250405_081100	Yksilöennusteen keskivirhe	15.082
20250405_081100	Yksilön aikaväliennuste väärin	0.071
20250405_081100	Yksilön aikavälin keskikoko	73.7
20250405_082608	Viestin aikaväliennuste väärin	0.123
20250405_082608	Yksilöennusteen keskivirhe	15.037
20250405_082608	Yksilön aikaväliennuste väärin	0.065
20250405_082608	Yksilön aikavälin keskikoko	76.372
20250405_083553	Viestin aikaväliennuste väärin	0.122
20250405_083553	Yksilöennusteen keskivirhe	15.283
20250405_083553	Yksilön aikaväliennuste väärin	0.062
20250405_083553	Yksilön aikavälin keskikoko	80.277
20250405_093447	Viestin aikaväliennuste väärin	0.121
20250405_093447	Yksilöennusteen keskivirhe	15.093
20250405_093447	Yksilön aikaväliennuste väärin	0.063
20250405_093447	Yksilön aikavälin keskikoko	78.142
20250405_094418	Viestin aikaväliennuste väärin	0.123
20250405_094418	Yksilöennusteen keskivirhe	15.049
20250405_094418	Yksilön aikaväliennuste väärin	0.063
20250405_094418	Yksilön aikavälin keskikoko	78.5
20250405_100045	Viestin aikaväliennuste väärin	0.121
20250405_100045	Yksilöennusteen keskivirhe	15.013
20250405_100045	Yksilön aikaväliennuste väärin	0.062
20250405_100045	Yksilön aikavälin keskikoko	79.44
20250405_100657	Viestin aikaväliennuste väärin	0.122
20250405_100657	Yksilöennusteen keskivirhe	15.197
20250405_100657	Yksilön aikaväliennuste väärin	0.062
20250405_100657	Yksilön aikavälin keskikoko	80.934
20250405_101219	Viestin aikaväliennuste väärin	0.121
20250405_101219	Yksilöennusteen keskivirhe	15.15
20250405_101219	Yksilön aikaväliennuste väärin	0.062
20250405_101219	Yksilön aikavälin keskikoko	80.987
20250405_102106	Viestin aikaväliennuste väärin	0.121
20250405_102106	Yksilöennusteen keskivirhe	15.177
20250405_102106	Yksilön aikaväliennuste väärin	0.062
20250405_102106	Yksilön aikavälin keskikoko	81.109
20250406_075315	Viestin aikaväliennuste väärin	0.124
20250406_075315	Yksilöennusteen keskivirhe	14.994
20250406_075315	Yksilön aikaväliennuste väärin	0.065
20250406_075315	Yksilön aikavälin keskikoko	76.534
20250406_091827	Viestin aikaväliennuste väärin	0.123
20250406_091827	Yksilöennusteen keskivirhe	15.102
20250406_091827	Yksilön aikaväliennuste väärin	0.065
20250406_091827	Yksilön aikavälin keskikoko	76.699
20250406_092826	Viestin aikaväliennuste väärin	0.133
20250406_092826	Yksilöennusteen keskivirhe	15.099
20250406_092826	Yksilön aikaväliennuste väärin	0.068
20250406_092826	Yksilön aikavälin keskikoko	75.205
20250406_093630	Viestin aikaväliennuste väärin	0.123
20250406_093630	Yksilöennusteen keskivirhe	15.098
20250406_093630	Yksilön aikaväliennuste väärin	0.065
20250406_093630	Yksilön aikavälin keskikoko	76.565
20250406_094544	Viestin aikaväliennuste väärin	0.156
20250406_094544	Yksilöennusteen keskivirhe	15.162
20250406_094544	Yksilön aikaväliennuste väärin	0.079
20250406_094544	Yksilön aikavälin keskikoko	71.383
