execution_timestamp	kpi	value
20230517_153658	Yksilön aikaväliennuste väärin	0.216
20230517_153658	Yksilön aikavälin keskikoko	69.052
20230517_154722	Viestin aikaväliennuste väärin	0.068
20230517_154722	Yksilöennusteen keskivirhe	12.408
20230517_154722	Yksilön aikaväliennuste väärin	0.057
20230517_154722	Yksilön aikavälin keskikoko	69.643
20230517_155658	Viestin aikaväliennuste väärin	0.068
20230517_155658	Yksilöennusteen keskivirhe	12.411
20230517_155658	Yksilön aikaväliennuste väärin	0.057
20230517_155658	Yksilön aikavälin keskikoko	69.654
20230519_185033	Viestin aikaväliennuste väärin	0.07
20230519_185033	Yksilöennusteen keskivirhe	12.451
20230519_185033	Yksilön aikaväliennuste väärin	0.058
20230519_185033	Yksilön aikavälin keskikoko	69.525
20230519_200859	Viestin aikaväliennuste väärin	0.07
20230519_200859	Yksilöennusteen keskivirhe	12.435
20230519_200859	Yksilön aikaväliennuste väärin	0.058
20230519_200859	Yksilön aikavälin keskikoko	69.549
20230522_051931	Viestin aikaväliennuste väärin	0.079
20230522_051931	Yksilöennusteen keskivirhe	12.896
20230522_051931	Yksilön aikaväliennuste väärin	0.069
20230522_051931	Yksilön aikavälin keskikoko	67.992
20230522_054455	Viestin aikaväliennuste väärin	0.074
20230522_054455	Yksilöennusteen keskivirhe	12.568
20230522_054455	Yksilön aikaväliennuste väärin	0.061
20230522_054455	Yksilön aikavälin keskikoko	69.083
20230522_191241	Viestin aikaväliennuste väärin	0.399
20230522_191241	Yksilöennusteen keskivirhe	12.996
20230522_191241	Yksilön aikaväliennuste väärin	0.301
20230522_191241	Yksilön aikavälin keskikoko	26.447
20230522_192313	Viestin aikaväliennuste väärin	0.332
20230522_192313	Yksilöennusteen keskivirhe	16.026
20230522_192313	Yksilön aikaväliennuste väärin	0.262
20230522_192313	Yksilön aikavälin keskikoko	35.806
20230523_061135	Viestin aikaväliennuste väärin	0.087
20230523_061135	Yksilöennusteen keskivirhe	12.547
20230523_061135	Yksilön aikaväliennuste väärin	0.053
20230523_061135	Yksilön aikavälin keskikoko	66.933
20230523_063528	Viestin aikaväliennuste väärin	0.09
20230523_063528	Yksilöennusteen keskivirhe	12.547
20230523_063528	Yksilön aikaväliennuste väärin	0.061
20230523_063528	Yksilön aikavälin keskikoko	66.068
20230524_054111	Viestin aikaväliennuste väärin	0.082
20230524_054111	Yksilöennusteen keskivirhe	12.463
20230524_054111	Yksilön aikaväliennuste väärin	0.058
20230524_054111	Yksilön aikavälin keskikoko	67.586
20230524_183016	Viestin aikaväliennuste väärin	0.107
20230524_183016	Yksilöennusteen keskivirhe	12.538
20230524_183016	Yksilön aikaväliennuste väärin	0.087
20230524_183016	Yksilön aikavälin keskikoko	61.393
20230524_194026	Viestin aikaväliennuste väärin	0.075
20230524_194026	Yksilöennusteen keskivirhe	12.538
20230524_194026	Yksilön aikaväliennuste väärin	0.057
20230524_194026	Yksilön aikavälin keskikoko	70.613
20230524_195750	Viestin aikaväliennuste väärin	0.113
20230524_195750	Yksilöennusteen keskivirhe	13.67
20230524_195750	Yksilön aikaväliennuste väärin	0.072
20230524_195750	Yksilön aikavälin keskikoko	70.935
20230524_205602	Viestin aikaväliennuste väärin	0.076
20230524_205602	Yksilöennusteen keskivirhe	12.552
20230524_205602	Yksilön aikaväliennuste väärin	0.058
20230524_205602	Yksilön aikavälin keskikoko	70.107
20230525_035217	Viestin aikaväliennuste väärin	0.073
20230525_035217	Yksilöennusteen keskivirhe	12.563
20230525_035217	Yksilön aikaväliennuste väärin	0.057
20230525_035217	Yksilön aikavälin keskikoko	69.964
20230525_041855	Viestin aikaväliennuste väärin	0.077
20230525_041855	Yksilöennusteen keskivirhe	12.563
20230525_041855	Yksilön aikaväliennuste väärin	0.049
20230525_041855	Yksilön aikavälin keskikoko	66.873
20230525_052802	Viestin aikaväliennuste väärin	0.088
20230525_052802	Yksilöennusteen keskivirhe	12.528
20230525_052802	Yksilön aikaväliennuste väärin	0.059
