race_id	num_runners	name	value	desc	execution_timestamp
ju_fy_2019	13825	median_relay_prediction_error_minutes	17.509406217031653	Viestiennusteen virheen mediaani	20230327_043005
ju_fy_2019	13825	post_analysis_start_time	1679891634.092118	Time of starting to run post race analysis	20230327_043005
ju_fy_2019	13825	ratio_of_error_to_final_time	0.10910753742574857	Virheen suhde loppuaikaan	20230327_043005
ju_fy_2019	13825	relay_interval_prediction_wrong	0.070393538680814	Viestin aikaväliennuste väärin	20230327_043005
ju_fy_2019	13825	runner_faster_than_relay_time_prediction	0.004909335656029773	Juoksija nopeampi kuin viestin aikaväliennuste	20230327_043005
ju_fy_2019	13825	runner_slower_than_post_interval_prediction	0.06548420302478422	Juoksija hitaampi kuin viestin aikaväliennuste	20230327_043005
ju_fy_2019	13825	signed_average_error_of_individual_forecast_ie_runner_was_late_minutes	6.921125810094915	Yksilöennusteen etumerkillinen keskivirhe (juoksija myöhästyi ennusteesta)	20230327_043005
ju_fy_2021	8694	average_error_of_individual_prediction_minutes	15.435344276398972	Yksilöennusteen keskivirhe	20230327_043005
ju_fy_2021	8694	average_error_of_relay_prediction_minutes	32.203931947598996	Viestiennusteen keskivirhe	20230327_043005
ju_fy_2021	8694	average_size_of_an_individual_interval_minutes	73.94129457749071	Yksilön aikavälin keskikoko	20230327_043005
ju_fy_2021	8694	individual_faster_than_interval_prediction	0.023867173988239364	Yksilö nopeampi kuin aikaväliennuste	20230327_043005
ju_fy_2021	8694	individual_interval_prediction_is_wrong	0.08007609823590453	Yksilön aikaväliennuste väärin	20230327_043005
ju_fy_2021	8694	individual_slower_than_interval_forecast	0.05620892424766517	Yksilö hitaampi kuin aikaväliennuste	20230327_043005
ju_fy_2021	8694	mean_ind_interval_error_size	5.920930368277101	Yksilön aikavälin keskikoko kertaa virhe	20230327_043005
ju_fy_2021	8694	median_error_of_individual_prediction_minutes	9.91282502152805	Yksilöennusteen mediaanivirhe	20230327_043005
ju_fy_2021	8694	median_ind_interval	61.48923348775	Yksilön aikavälin mediaani koko	20230327_043005
ju_fy_2021	8694	median_ind_interval_times_error_size	4.923817901215539	Yksilön aikavälin mediaani koko kertaa virhe	20230327_043005
ju_fy_2021	8694	median_relay_prediction_error_minutes	20.199668594256934	Viestiennusteen virheen mediaani	20230327_043005
ju_fy_2021	8694	post_analysis_start_time	1679891611.338885	Time of starting to run post race analysis	20230327_043005
ju_fy_2021	8694	ratio_of_error_to_final_time	0.1170743563711237	Virheen suhde loppuaikaan	20230327_043005
ju_fy_2021	8694	relay_interval_prediction_wrong	0.08145970252507782	Viestin aikaväliennuste väärin	20230327_043005
ju_fy_2021	8694	runner_faster_than_relay_time_prediction	0.024040124524386027	Juoksija nopeampi kuin viestin aikaväliennuste	20230327_043005
ju_fy_2021	8694	runner_slower_than_post_interval_prediction	0.0574195780006918	Juoksija hitaampi kuin viestin aikaväliennuste	20230327_043005
ju_fy_2021	8694	signed_average_error_of_individual_forecast_ie_runner_was_late_minutes	2.499487619300027	Yksilöennusteen etumerkillinen keskivirhe (juoksija myöhästyi ennusteesta)	20230327_043005
ju_fy_2022	11144	average_error_of_individual_prediction_minutes	15.85175691425548	Yksilöennusteen keskivirhe	20230327_043005
ju_fy_2022	11144	average_error_of_relay_prediction_minutes	36.45360603721025	Viestiennusteen keskivirhe	20230327_043005
ju_fy_2022	11144	average_size_of_an_individual_interval_minutes	87.92562740405396	Yksilön aikavälin keskikoko	20230327_043005
ju_fy_2022	11144	individual_faster_than_interval_prediction	0.01870591842992947	Yksilö nopeampi kuin aikaväliennuste	20230327_043005
ju_fy_2022	11144	individual_interval_prediction_is_wrong	0.05877542676070735	Yksilön aikaväliennuste väärin	20230327_043005
