year	leg	ideal_time	vertical	leg_distance	ideal_pace	vertical_per_km	marking	log_ideal_pace	leg_avg	terrain_coefficient
2022	5	49	210.0	9.2	5.326086956521739	22.826086956521742	550.0	1.672616814055632	1.720986013328644	0.9718944843837174
2022	6	77	330.0	14.6	5.273972602739726	22.602739726027398	550.0	1.6627838931393932	1.7484964439882447	0.9509792821463539
2022	7	87	390.0	16.8	5.178571428571428	23.21428571428571	550.0	1.6445292322453704	1.7290498448229785	0.9511173070974935
2021	1	74	230.0	12.9	5.736434108527131	17.829457364341085	1200.0	1.7468377818365433	1.7786660228687865	0.9821055551615542
2021	2	74	230.0	12.9	5.736434108527131	17.829457364341085	1200.0	1.7468377818365433	1.7953864884967112	0.9729591890263036
2021	3	93	300.0	16.6	5.602409638554216	18.072289156626503	1200.0	1.7231967977907583	1.7945167819947414	0.9602567192909137
2021	4	50	120.0	9.1	5.4945054945054945	13.186813186813188	1200.0	1.7037485919053417	1.7483887111024876	0.9744678520779301
2021	5	50	120.0	8.9	5.617977528089887	13.48314606741573	1200.0	1.7259717286900518	1.720986013328644	1.002897010970917
2021	6	59	180.0	11.0	5.363636363636363	16.363636363636363	1200.0	1.6796421711073488	1.7484964439882447	0.9606208676502411
2021	7	85	280.0	16.4	5.182926829268293	17.073170731707318	1200.0	1.6453699216601638	1.7290498448229785	0.9516035217762147
2019	1	69	280.0	10.7	6.4485981308411215	26.16822429906542	1250.0	1.863862763129399	1.7786660228687865	1.0478992341255835
2019	2	70	290.0	10.3	6.796116504854369	28.15533980582524	1250.0	1.916351346813769	1.7953864884967112	1.067375386353911
2019	3	87	340.0	13.1	6.641221374045802	25.954198473282442	1250.0	1.893295888447478	1.7945167819947414	1.0550449610969568
2019	4	47	210.0	7.2	6.527777777777778	29.166666666666664	1250.0	1.876066575688049	1.7483887111024876	1.0730260174838644
2019	5	48	230.0	7.7	6.233766233766234	29.87012987012987	1250.0	1.8299806820482527	1.720986013328644	1.06333268711975
2019	6	68	330.0	11.0	6.181818181818182	30.0	1250.0	1.821612432377736	1.7484964439882447	1.041816492473223
2019	7	77	350.0	12.8	6.015625	27.34375	1250.0	1.7943602509281125	1.7290498448229785	1.0377724253009146
2018	1	67	240.0	10.9	6.146788990825688	22.01834862385321	600.0	1.815929830155868	1.7786660228687865	1.0209504239739056
2018	2	73	280.0	11.8	6.186440677966101	23.72881355932203	600.0	1.822359909676772	1.7953864884967112	1.0150237407671736
2018	3	78	340.0	12.6	6.190476190476191	26.984126984126984	600.0	1.8230120127321594	1.7945167819947414	1.0158790550321537
2018	4	50	220.0	8.7	5.74712643678161	25.287356321839084	600.0	1.7486999797676082	1.7483887111024876	1.0001780317289537
2018	5	48	220.0	8.6	5.5813953488372094	25.581395348837212	600.0	1.7194388076484288	1.720986013328644	0.9991009771908472
2018	6	60	320.0	10.7	5.607476635514019	29.90654205607477	600.0	1.7241008207542403	1.7484964439882447	0.9860476563633387
2018	7	84	480.0	15.0	5.6	32.0	600.0	1.7227665977411035	1.7290498448229785	0.9963660694336326
2017	1	75	380.0	12.7	5.905511811023622	29.921259842519685	1300.0	1.7758861200717648	1.7786660228687865	0.9984370855679033
2017	2	88	440.0	14.2	6.19718309859155	30.985915492957748	1300.0	1.8240948498709915	1.7953864884967112	1.0159900732005163
2017	3	70	360.0	12.3	5.691056910569105	29.268292682926827	1300.0	1.738895979670987	1.7945167819947414	0.9690051367132229
2017	4	45	250.0	7.6	5.921052631578948	32.89473684210527	1300.0	1.7785142424780345	1.7483887111024876	1.0172304540656467
2017	5	45	250.0	7.9	5.69620253164557	31.645569620253163	1300.0	1.739799730297344	1.720986013328644	1.0109319406566886
2017	6	64	340.0	10.9	5.871559633027522	31.192660550458715	1300.0	1.7701202941245737	1.7484964439882447	1.0123671113033585
2017	7	80	490.0	13.8	5.797101449275362	35.507246376811594	1300.0	1.7573580425107227	1.7290498448229785	1.016372111985379
2016	1	60	280.0	10.6	5.660377358490567	26.41509433962264	1000.0	1.7334905611040794	1.7786660228687865	0.9746014928132241
2016	2	74	285.0	12.7	5.826771653543307	22.440944881889767	1000.0	1.7624630997396242	1.7953864884967112	0.9816622276217228
2016	3	88	360.0	14.1	6.24113475177305	25.53191489361702	1000.0	1.8311620170940839	1.7945167819947414	1.020420670047236
2016	4	47	170.0	8.4	5.595238095238095	20.238095238095237	1000.0	1.7219158958607905	1.7483887111024876	0.9848587358900276
2016	5	48	170.0	8.6	5.5813953488372094	19.767441860465116	1000.0	1.7194388076484288	1.720986013328644	0.9991009771908472
2016	6	70	240.0	12.4	5.64516129032258	19.35483870967742	1000.0	1.7307987694383677	1.7484964439882447	0.989878346844384
2016	7	91	470.0	16.4	5.548780487804878	28.658536585365855	1000.0	1.7135781716866973	1.7290498448229785	0.9910519218502546
2015	1	80	365.0	13.8	5.797101449275362	26.44927536231884	1375.0	1.7573580425107227	1.7786660228687865	0.988020246586992
2015	2	73	285.0	12.4	5.887096774193548	22.983870967741936	1375.0	1.7727629685373998	1.7953864884967112	0.9873990808640571
2015	3	94	405.0	15.7	5.987261146496816	25.796178343949045	1375.0	1.7896340699157416	1.7945167819947414	0.9972790936657765
2015	4	45	205.0	8.1	5.555555555555555	25.308641975308642	1375.0	1.7147984280919266	1.7483887111024876	0.9807878632495974
2015	5	46	215.0	8.6	5.348837209302326	25.0	1375.0	1.676879193229633	1.720986013328644	0.9743711920042267
2015	6	70	320.0	12.7	5.511811023622047	25.19685039370079	1375.0	1.7068932485848134	1.7484964439882447	0.976206302536975
2015	7	79	355.0	14.5	5.448275862068965	24.482758620689655	1375.0	1.6952992030404928	1.7290498448229785	0.9804802378118017
2014	1	70		10.0	7.0		1000.0	1.9459101490553132	1.7786660228687865	1.0940278411102613
2014	2	83		11.5	7.217391304347826		1000.0	1.9764935724273935	1.7953864884967112	1.1008735918929213
2014	3	71		10.0	7.1		1000.0	1.9600947840472698	1.7945167819947414	1.0922688512661753
2014	4	48		7.7	6.233766233766234		1000.0	1.8299806820482527	1.7483887111024876	1.0466669513636446
2014	5	46		7.7	5.974025974025974		1000.0	1.7874210676294569	1.720986013328644	1.0386029019331293
2014	6	70		10.6	6.60377358490566		1000.0	1.8876412409313374	1.7484964439882447	1.0795796854042834
2014	7	89		14.2	6.267605633802817		1000.0	1.835394405124925	1.7290498448229785	1.0615046238373966
2013	1	70		12.7	5.511811023622047		1300.0	1.7068932485848134	1.7786660228687865	0.9596479758643999
2013	2	70		12.9	5.426356589147287		1300.0	1.6912679306817324	1.7953864884967112	0.942007718960747
2013	3	80		14.6	5.47945205479452		1300.0	1.7010051059595908	1.7945167819947414	0.9478903307155448
2013	4	41		7.8	5.256410256410256		1300.0	1.6594483330087617	1.7483887111024876	0.949130089019139
2013	5	41		7.9	5.189873417721519		1300.0	1.646709307231332	1.720986013328644	0.9568406102536243
2013	6	65		11.8	5.508474576271186		1300.0	1.706287738424018	1.7484964439882447	0.9758599991956801
2013	7	84		15.3	5.490196078431373		1300.0	1.7029639704449238	1.7290498448229785	0.9849131738705165
2012	1	77		12.8	6.015625		2000.0	1.7943602509281125	1.7786660228687865	1.0088235946813742
2012	2	79		12.7	6.220472440944882		2000.0	1.827845859002476	1.7953864884967112	1.0180793220366402
2012	3	88		14.1	6.24113475177305		2000.0	1.8311620170940839	1.7945167819947414	1.020420670047236
2012	4	43		7.8	5.512820512820513		2000.0	1.7070763819980164	1.7483887111024876	0.9763711988975148
2012	5	44		8.1	5.432098765432099		2000.0	1.692325572239868	1.720986013328644	0.9833464997002838
2012	6	58		10.3	5.631067961165048		2000.0	1.7282991153108291	1.7484964439882447	0.9884487447790593
2012	7	89		15.0	5.933333333333334		2000.0	1.7805861686299298	1.7290498448229785	1.0298061527614477
2011	1	68		11.5	5.913043478260869		700.0	1.7771606698069022	1.7786660228687865	0.9991536617653176
2011	2	68		11.4	5.964912280701754		700.0	1.785894349775657	1.7953864884967112	0.9947130387903264
2011	3	79		13.6	5.8088235294117645		700.0	1.759378059725015	1.7945167819947414	0.9804188388638712
2011	4	47		8.3	5.662650602409638		700.0	1.7338920869075063	1.7483887111024876	0.9917085805330783
2011	5	47		8.5	5.529411764705882		700.0	1.7100814382137879	1.720986013328644	0.99366376308093
2011	6	59		10.5	5.619047619047619		700.0	1.7261621867422416	1.7484964439882447	0.9872265926975181
2011	7	84		15.6	5.384615384615385		700.0	1.6835458845878224	1.7290498448229785	0.9736826787432407
2010	1	67		9.8	6.836734693877551			1.9223102337144398	1.7786660228687865	1.0807595180875897
2010	2	73		10.0	7.3			1.9878743481543455	1.7953864884967112	1.1072124920683821
2010	3	83		11.3	7.345132743362831			1.994037882078303	1.7945167819947414	1.1111837471153536
2010	4	48		6.9	6.956521739130435			1.9396795993046771	1.7483887111024876	1.1094098165856758
2010	5	46		6.9	6.666666666666666			1.8971199848858813	1.720986013328644	1.102344801290144
2010	6	62		9.3	6.666666666666666			1.8971199848858813	1.7484964439882447	1.0850007681792209
2010	7	86		13.3	6.466165413533834			1.8665832610257995	1.7290498448229785	1.079542771201545
2009	1	63	270.0	12.45	5.0602409638554215	21.686746987951807	1000.0	1.621414103480816	1.7786660228687865	0.9115899683436124
2009	2	66	330.0	12.65	5.217391304347826	26.08695652173913	1000.0	1.6519975268528964	1.7953864884967112	0.9201347662118838
2009	3	79	400.0	14.65	5.392491467576792	27.3037542662116	1000.0	1.6850075170039451	1.7945167819947414	0.9389756250320109
2009	4	49	275.0	9.35	5.240641711229947	29.411764705882355	1000.0	1.6564439548100311	1.7483887111024876	0.9474117193112745
2009	5	48	275.0	9.5	5.052631578947368	28.94736842105263	1000.0	1.6199092123013956	1.720986013328644	0.9412680868732043
2009	6	60	320.0	11.15	5.381165919282511	28.699551569506724	1000.0	1.6829050643159729	1.7484964439882447	0.962486981373173
2009	7	85	400.0	16.6	5.120481927710843	24.096385542168672	1000.0	1.633248561127819	1.7290498448229785	0.9445931047147066
2008	1	72	370.0	11.45	6.2882096069869	32.314410480349345	600.0	1.8386763890158067	1.7786660228687865	1.0337389736889617
2008	2	77	410.0	12.25	6.285714285714286	33.46938775510204	600.0	1.8382794848629478	1.7953864884967112	1.0238906757074635
2008	3	81	400.0	13.1	6.183206106870229	30.53435114503817	600.0	1.821836924465333	1.7945167819947414	1.0152242334787325
2008	4	45	260.0	7.85	5.7324840764331215	33.12101910828026	600.0	1.7461489579760028	1.7483887111024876	0.9987189615717248
2008	5	44	280.0	7.95	5.534591194968553	35.22012578616352	600.0	1.7110177052520206	1.720986013328644	0.994207792509979
2008	6	57	380.0	9.85	5.786802030456853	38.578680203045685	600.0	1.7555798126505526	1.7484964439882447	1.0040511198559552
2008	7	77	510.0	13.75	5.6	37.09090909090909	600.0	1.7227665977411035	1.7290498448229785	0.9963660694336326
2007	1	65	260.0	10.74	6.052141527001862	24.20856610800745	500.0	1.8004121808149185	1.7786660228687865	1.012226105219606
2007	2	66	270.0	10.82	6.099815157116451	24.953789279112755	500.0	1.80825846860809	1.7953864884967112	1.007169475872661
2007	3	80	320.0	13.77	5.809731299927378	23.238925199709513	500.0	1.7595343219333182	1.7945167819947414	0.980505916460398
2007	4	47	205.0	7.655	6.139777922926192	26.779882429784454	500.0	1.8147885726004116	1.7483887111024876	1.037977745495768
2007	5	46	205.0	7.64	6.020942408376964	26.832460732984295	500.0	1.795243793310666	1.720986013328644	1.0431483924952976
2007	6	62	300.0	10.22	6.066536203522505	29.354207436399214	500.0	1.8027878002695332	1.7484964439882447	1.0310503098064372
2007	7	90	360.0	15.045	5.982053838484546	23.928215353938185	500.0	1.7887639602482566	1.7290498448229785	1.034535797567705
2006	1	70	530.0	11.25	6.222222222222222	47.111111111111114	750.0	1.8281271133989299	1.7786660228687865	1.0278079695087268
2006	2	72	530.0	11.15	6.457399103139013	47.53363228699551	750.0	1.8652266211099275	1.7953864884967112	1.0388997762101317
2006	3	82	600.0	12.95	6.332046332046333	46.33204633204633	750.0	1.8456234591187064	1.7945167819947414	1.0284793531254448
2006	4	49	370.0	7.65	6.405228758169934	48.36601307189542	750.0	1.857114650272182	1.7483887111024876	1.0621863653541521
2006	5	47	360.0	7.75	6.064516129032258	46.45161290322581	750.0	1.802454758344803	1.720986013328644	1.047338412041238
2006	6	57	495.0	9.35	6.096256684491979	52.94117647058824	750.0	1.8076749245339545	1.7484964439882447	1.0338453536746843
2006	7	85	690.0	14.25	5.964912280701754	48.421052631578945	750.0	1.785894349775657	1.7290498448229785	1.032876151675372
2005	1	80	440.0	13.25	6.037735849056604	33.20754716981132	850.0	1.7980290822416505	1.7786660228687865	1.0108862816987045
2005	2	66	330.0	11.25	5.866666666666666	29.333333333333332	850.0	1.7692866133759964	1.7953864884967112	0.9854628096580094
2005	3	84	440.0	14.2	5.915492957746479	30.985915492957748	850.0	1.7775748342360986	1.7945167819947414	0.9905590474669117
2005	4	43	240.0	7.6	5.657894736842105	31.578947368421055	850.0	1.733051868401277	1.7483887111024876	0.9912280131964821
2005	5	41	240.0	7.6	5.394736842105264	31.578947368421055	850.0	1.6854238194120226	1.720986013328644	0.9793361516937381
2005	6	55	330.0	9.85	5.583756345177665	33.50253807106599	850.0	1.7198617300484735	1.7484964439882447	0.9836232358159925
2005	7	83	520.0	15.05	5.514950166112957	34.55149501661129	850.0	1.7074626166017133	1.7290498448229785	0.9875149763403869
2004	1	72	200.0	13.75	5.236363636363636	14.545454545454545	1000.0	1.655627294903475	1.7786660228687865	0.9308252778299189
2004	2	72	200.0	13.65	5.274725274725275	14.652014652014651	1000.0	1.6629265973850866	1.7953864884967112	0.9262220742105873
2004	3	81	220.0	14.95	5.418060200668896	14.715719063545151	1000.0	1.6897378548357433	1.7945167819947414	0.941611620347998
2004	4	36	100.0	8.45	4.260355029585799	11.83431952662722	1000.0	1.4493524970870277	1.7483887111024876	0.8289646849601908
2004	5	35	100.0	8.45	4.142011834319527	11.83431952662722	1000.0	1.4211816201203313	1.720986013328644	0.8257949856149928
2004	6	61	180.0	11.95	5.104602510460252	15.062761506276152	1000.0	1.6301425857957916	1.7484964439882447	0.9323110672604555
2004	7	77	290.0	15.5	4.967741935483871	18.70967741935484	1000.0	1.602965397928483	1.7290498448229785	0.9270787668313841
2003	1	73	300.0	11.4	6.4035087719298245	26.31578947368421	700.0	1.8568460857479414	1.7786660228687865	1.0439543241249187
2003	2	78	340.0	11.9	6.554621848739496	28.57142857142857	700.0	1.880170426572108	1.7953864884967112	1.0472232238677406
2003	3	94	390.0	13.3	7.06766917293233	29.32330827067669	700.0	1.9555307470422958	1.7945167819947414	1.0897255275977833
2003	4	42	240.0	6.65	6.315789473684211	36.090225563909776	700.0	1.8430527636156055	1.7483887111024876	1.0541435962792423
2003	5	40	240.0	6.65	6.015037593984962	36.090225563909776	700.0	1.7942625994461734	1.720986013328644	1.0425782577836304
2003	6	63	300.0	10.25	6.146341463414634	29.26829268292683	700.0	1.8158570208071154	1.7484964439882447	1.038524857771643
2003	7	86	450.0	14.45	5.951557093425606	31.14186851211073	700.0	1.7836528816950667	1.7290498448229785	1.0315797933966897
2002	1	67	285.0	10.65	6.291079812206573	26.76056338028169	1000.0	1.839132727235532	1.7786660228687865	1.0339955357494375
2002	2	68	285.0	10.65	6.384976525821596	26.76056338028169	1000.0	1.8539478130206726	1.7953864884967112	1.0326176702894736
2002	3	80	315.0	12.85	6.22568093385214	24.513618677042803	1000.0	1.8286828233326529	1.7945167819947414	1.0190391316931198
2002	4	40	215.0	6.3	6.34920634920635	34.12698412698413	1000.0	1.8483298207164494	1.7483887111024876	1.0571618364836852
2002	5	39	235.0	6.4	6.09375	36.71875	1000.0	1.8072636557640203	1.720986013328644	1.0501326807813518
2002	6	65	365.0	10.3	6.310679611650485	35.43689320388349	1000.0	1.842243374660047	1.7484964439882447	1.0536157399656871
2002	7	88	420.0	14.2	6.19718309859155	29.577464788732396	1000.0	1.8240948498709915	1.7290498448229785	1.0549694997704036
